Time(s), V(V),Encoder,ADC
4.07,2.615,-569,-176
4.075,2.7986,-558,-256
4.08,2.9816,-547,-256
4.085,3.1638,-536,-256
4.09,3.3452,-526,-256
4.095,3.5258,-515,-280
4.1,3.7055,-506,-280
4.105,3.8843,-497,-280
4.11,4.0622,-488,-300
4.115,4.2391,-479,-300
4.12,4.4149,-471,-300
4.125,4.5896,-464,-300
4.13,4.7632,-457,-286
4.135,4.9356,-450,-286
4.14,5.1068,-444,-286
4.145,5.2767,-439,-286
4.15,5.4454,-434,-284
4.155,5.6127,-429,-284
4.16,5.7786,-425,-284
4.165,5.943,-422,-263
4.17,6.1061,-419,-263
4.175,6.2676,-417,-263
4.18,6.4275,-415,-263
4.185,6.5859,-414,-263
4.19,6.7426,-413,-263
4.195,6.8977,-413,-263
4.2,7.0511,-414,-231
4.205,7.2028,-415,-231
4.21,7.3526,-417,-231
4.215,7.5007,-419,-231
4.22,7.6469,-422,-192
4.225,7.7912,-425,-192
4.23,7.9336,-429,-192
4.235,8.074,-433,-192
4.24,8.2125,-437,-192
4.245,8.3489,-442,-192
4.25,8.4833,-448,-192
4.255,8.6155,-454,-143
4.26,8.7457,-460,-143
4.265,8.8736,-467,-143
4.2701,8.9994,-473,-127
4.2751,9.123,-481,-127
4.2801,9.2443,-489,-127
4.2851,9.3634,-497,-127
4.2901,9.4801,-505,-97
4.2951,9.5945,-514,-97
4.3001,9.7065,-523,-97
4.3051,9.8161,-533,-103
4.3101,9.9234,-543,-103
4.3151,10.028,-553,-103
4.3201,10.13,-563,-103
4.3251,10.23,-573,-81
4.3301,10.327,-584,-81
4.3351,10.422,-595,-81
4.3401,10.514,-606,-81
4.3451,10.604,-618,-71
4.3501,10.691,-629,-71
4.3551,10.775,-641,-71
4.3601,10.857,-653,-63
4.3651,10.936,-665,-63
4.3701,11.012,-678,-63
4.3751,11.085,-691,-63
4.3801,11.156,-703,-56
4.3851,11.224,-716,-56
4.3901,11.29,-729,-56
4.3951,11.352,-743,-44
4.4001,11.412,-756,-44
4.4051,11.469,-769,-44
4.4101,11.523,-783,-44
4.4151,11.574,-797,-31
4.4201,11.622,-810,-31
4.4251,11.668,-824,-31
4.4301,11.71,-838,-39
4.4351,11.75,-853,-39
4.4401,11.787,-867,-39
4.4451,11.821,-881,-39
4.4501,11.852,-896,-39
4.4551,11.88,-910,-39
4.4601,11.905,-925,-39
4.4651,11.927,-939,-31
4.4701,11.946,-954,-31
4.4751,11.963,-969,-31
4.4801,11.976,-984,-31
4.4851,11.987,-999,-28
4.4901,11.994,-1014,-28
4.4951,11.998,-1029,-28
4.5001,12,-1044,-28
4.5051,11.999,-1060,-28
4.5101,11.994,-1075,-28
4.5151,11.987,-1090,-28
4.5201,11.977,-1106,-30
4.5251,11.963,-1121,-30
4.5301,11.947,-1137,-30
4.5351,11.928,-1152,-30
4.5401,11.906,-1168,-24
4.5451,11.881,-1183,-24
4.5501,11.853,-1199,-24
4.5551,11.822,-1215,-24
4.5601,11.788,-1231,-24
